KodeBPS,KodeProv,NamaProv,KabKot,Kategori,Produk,Harga,Tahun,Bulan
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Mei
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150741,2024,Juni
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Juli
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Agustus
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,September
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Oktober
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,November
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Desember
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,Januari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,152143,2025,Februari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,Maret
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,April
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,Mei
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150667,2025,Juni
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,Juli
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,Agustus
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,September
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2025,Oktober
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,170000,2022,Januari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,170000,2022,Februari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2022,Maret
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2022,April
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2022,Mei
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,118625,2022,Juni
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,140000,2022,Juli
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2022,Agustus
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2022,September
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2022,Oktober
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2022,November
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2022,Desember
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Januari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Februari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2023,Maret
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2023,April
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Mei
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2023,Juni
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Juli
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Agustus
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,160000,2023,September
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Oktober
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,November
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2023,Desember
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,160000,2024,Januari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,160000,2024,Februari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2024,Maret
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2024,April
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,Mei
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2024,Juni
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,Juli
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,Agustus
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,September
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,Oktober
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,November
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2024,Desember
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Januari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Februari
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,2.00E+05,2025,Maret
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,April
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Mei
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Juni
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Juli
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Agustus
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,September
11.01,11,Aceh,Kab. Aceh Selatan,Protein,Daging Sapi Murni,NA,2025,Oktober
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,Januari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,Februari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,150000,2022,Maret
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,160000,2022,April
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,170000,2022,Mei
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,126250,2022,Juni
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,140000,2022,Juli
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,Agustus
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,September
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,Oktober
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,November
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2022,Desember
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Januari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Februari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,162500,2023,Maret
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,April
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Mei
